model_alias,negative_budget_ratio,negative_budget_seed,budget_status,budget_skip_reason,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used
llava-onevision-qwen2-7b-ov-hf,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),3833,138,0
llava-onevision-qwen2-7b-ov-hf,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),3833,138,0
llava-onevision-qwen2-7b-ov-hf,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),3833,138,0
qwen3-vl-8b,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),3812,168,0
qwen3-vl-8b,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),3812,168,0
qwen3-vl-8b,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),3812,168,0
minicpm-v-2_6,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (8),3776,80,0
minicpm-v-2_6,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (8),3776,80,0
minicpm-v-2_6,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (8),3776,80,0
gemma-4-12b-it,0.25,20260506,skipped,ratio 0.25 would leave fewer than 20 hard negatives (16),2926,64,0
gemma-4-12b-it,0.25,20260507,skipped,ratio 0.25 would leave fewer than 20 hard negatives (16),2926,64,0
gemma-4-12b-it,0.25,20260508,skipped,ratio 0.25 would leave fewer than 20 hard negatives (16),2926,64,0
gemma-4-12b-it,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (6),2926,64,0
gemma-4-12b-it,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (6),2926,64,0
gemma-4-12b-it,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (6),2926,64,0
qwen3.5-4b,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (8),3852,84,0
qwen3.5-4b,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (8),3852,84,0
qwen3.5-4b,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (8),3852,84,0
qwen3.5-9b,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (11),3885,114,0
qwen3.5-9b,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (11),3885,114,0
qwen3.5-9b,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (11),3885,114,0
phi-4-multimodal-instruct,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (19),3719,197,0
phi-4-multimodal-instruct,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (19),3719,197,0
phi-4-multimodal-instruct,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (19),3719,197,0
phi-3.5-vision-instruct,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (11),3648,116,0
phi-3.5-vision-instruct,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (11),3648,116,0
phi-3.5-vision-instruct,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (11),3648,116,0
minicpm-v-4_5,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (10),3835,104,0
minicpm-v-4_5,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (10),3835,104,0
minicpm-v-4_5,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (10),3835,104,0
qwen2.5-vl-7b,0.1,20260506,skipped,ratio 0.1 would leave fewer than 20 hard negatives (10),3794,101,0
qwen2.5-vl-7b,0.1,20260507,skipped,ratio 0.1 would leave fewer than 20 hard negatives (10),3794,101,0
qwen2.5-vl-7b,0.1,20260508,skipped,ratio 0.1 would leave fewer than 20 hard negatives (10),3794,101,0
