model_alias,verdict,status,median_band_size,min_band_size,max_band_size,num_valid_runs,required_seed_count,seed_band_sizes,selected_k_values,stability_drop_tolerance,reason
gemma-3-12b-it,scale_sensitive,evaluated,1.0,1,2,3,3,20260506:1;20260507:1;20260508:2,20260506:32;20260507:32;20260508:32,0.02,
gemma-3-4b-it,scale_sensitive,evaluated,2.0,1,3,3,3,20260506:2;20260507:1;20260508:3,20260506:32;20260507:32;20260508:32,0.02,
gemma-4-12b-it,scale_sensitive,evaluated,1.0,1,3,3,3,20260506:1;20260507:3;20260508:1,20260506:32;20260507:1;20260508:32,0.02,
internvl3.5-8b,scale_sensitive,evaluated,2.0,2,3,3,3,20260506:2;20260507:3;20260508:2,20260506:32;20260507:16;20260508:32,0.02,
llava-onevision-qwen2-7b-ov-hf,scale_sensitive,evaluated,2.0,1,3,3,3,20260506:2;20260507:1;20260508:3,20260506:16;20260507:32;20260508:32,0.02,
llava-v1.5-7b,scale_stable,evaluated,6.0,1,6,3,3,20260506:6;20260507:6;20260508:1,20260506:32;20260507:32;20260508:32,0.02,
minicpm-v-2_6,scale_stable,evaluated,6.0,3,6,3,3,20260506:6;20260507:6;20260508:3,20260506:32;20260507:32;20260508:8,0.02,
minicpm-v-4_5,scale_sensitive,evaluated,2.0,1,6,3,3,20260506:2;20260507:1;20260508:6,20260506:32;20260507:32;20260508:2,0.02,
molmo-7b-d-0924,scale_stable,evaluated,5.0,1,6,3,3,20260506:5;20260507:6;20260508:1,20260506:4;20260507:1;20260508:32,0.02,
phi-3.5-vision-instruct,scale_sensitive,evaluated,2.0,1,6,3,3,20260506:2;20260507:1;20260508:6,20260506:32;20260507:32;20260508:32,0.02,
phi-4-multimodal-instruct,scale_stable,evaluated,5.0,1,6,3,3,20260506:6;20260507:5;20260508:1,20260506:8;20260507:8;20260508:32,0.02,
qwen2.5-vl-7b,scale_stable,evaluated,6.0,1,6,3,3,20260506:1;20260507:6;20260508:6,20260506:32;20260507:32;20260508:16,0.02,
qwen3-vl-8b,scale_sensitive,evaluated,2.0,1,4,3,3,20260506:1;20260507:4;20260508:2,20260506:32;20260507:8;20260508:32,0.02,
qwen3.5-4b,scale_stable,evaluated,3.0,2,6,3,3,20260506:2;20260507:3;20260508:6,20260506:32;20260507:32;20260508:2,0.02,
qwen3.5-9b,scale_sensitive,evaluated,1.0,1,6,3,3,20260506:6;20260507:1;20260508:1,20260506:1;20260507:32;20260508:32,0.02,
glm-4.6v-flash,insufficient_coverage,excluded,,,,0,3,,,0.02,answer format incompatible with frozen yes/no population rule
